step,loss,perplexity,learning_rate
0,10.445384979248047,34385.319008114784,0.0
1,10.44049072265625,34217.43959148065,1.4999999999999998e-06
2,10.440868377685547,34230.364420041675,2.9999999999999997e-06
3,10.430580139160156,33879.99967455433,4.5e-06
4,10.411090850830078,33226.09535489112,5.999999999999999e-06
5,10.396839141845703,32755.925036526205,7.499999999999999e-06
6,10.371498107910156,31936.285151396798,9e-06
7,10.357841491699219,31503.108160226795,1.05e-05
8,10.322891235351562,30421.085086706593,1.1999999999999999e-05
9,10.279895782470703,29140.83640930828,1.3499999999999998e-05
10,10.244926452636719,28139.41249832201,1.4999999999999999e-05
11,10.2001953125,26908.44111599866,1.6499999999999998e-05
12,10.13058853149414,25099.13171501271,1.8e-05
13,10.105550765991211,24478.507484354217,1.95e-05
14,10.054933547973633,23270.309299386212,2.1e-05
15,9.951560974121094,20984.953798497012,2.2499999999999998e-05
16,9.894186019897461,19814.831856031433,2.3999999999999997e-05
17,9.781475067138672,17702.746342848583,2.5499999999999996e-05
18,9.675052642822266,15915.561858850766,2.6999999999999996e-05
19,9.678817749023438,15975.598590913252,2.8499999999999998e-05
20,9.622587203979492,15102.07157785229,2.9999999999999997e-05
21,9.45180892944336,12731.174242517973,3.149999999999999e-05
22,9.358734130859375,11599.695547668442,3.2999999999999996e-05
23,9.284076690673828,10765.22909106092,3.45e-05
24,9.190390586853027,9802.478950982413,3.6e-05
25,9.287683486938477,10804.1271857172,3.75e-05
26,9.128617286682129,9215.271077755231,3.9e-05
27,9.03256607055664,8371.313415241388,4.0499999999999995e-05
28,8.949655532836914,7705.2372027133215,4.2e-05
29,8.876999855041504,7165.261633169905,4.35e-05
30,8.816716194152832,6746.075410793212,4.4999999999999996e-05
31,8.699040412902832,5997.154663031081,4.65e-05
32,8.783866882324219,6528.071714914759,4.7999999999999994e-05
33,8.611327171325684,5493.534703564027,4.95e-05
34,8.616593360900879,5522.54100806474,5.099999999999999e-05
35,8.543761253356934,5134.620696665154,5.2499999999999995e-05
36,8.473278045654297,4785.175812586067,5.399999999999999e-05
37,8.494576454162598,4888.185519305495,5.5499999999999994e-05
38,8.240134239196777,3790.049047163319,5.6999999999999996e-05
39,8.253232955932617,3840.020391801387,5.849999999999999e-05
40,8.170467376708984,3534.9957522698824,5.9999999999999995e-05
41,8.326058387756348,4130.106149803357,6.149999999999999e-05
42,8.121222496032715,3365.132092147381,6.299999999999999e-05
43,7.936636924743652,2797.935001866968,6.45e-05
44,8.052397727966309,3141.3179745850484,6.599999999999999e-05
45,8.005178451538086,2996.4347718187564,6.749999999999999e-05
46,7.926512718200684,2769.7510408719722,6.9e-05
47,7.997749328613281,2974.25637458791,7.049999999999999e-05
48,7.760591506958008,2346.292042964849,7.2e-05
49,7.8475189208984375,2559.3764175281603,7.35e-05
50,7.848545074462891,2562.0040787231596,7.5e-05
51,7.784442901611328,2402.9271082028467,7.65e-05
52,7.730307579040527,2276.3022359814163,7.8e-05
53,7.573831558227539,1946.5844627585423,7.949999999999998e-05
54,7.676814079284668,2157.7344387620824,8.099999999999999e-05
55,7.934196472167969,2791.11509939418,8.249999999999999e-05
56,7.910844802856445,2726.693011650303,8.4e-05
57,7.594797134399414,1987.8265489667504,8.549999999999999e-05
58,7.628569602966309,2056.1068662376524,8.7e-05
